canonical (sportsref) name,canonical representation,espn name,rep,score,247 name,rep,score,rivals name,score
Oregon State,Oregon State BeaversBeavers,Oregon State,Oregon State BeaversBeavers,1.0,Oregon State,Oregon State BeaversBeavers,1.0,Oregon State,1.0
Arizona State,Arizona State Sun DevilsSun Devils,Arizona State,Arizona State Sun DevilsSun Devils,1.0,Arizona State,Arizona State Sun DevilsSun Devils,1.0,Arizona State,1.0
Arizona,Arizona WildcatsWildcats,Arizona,Arizona WildcatsWildcats,1.0,Arizona,Arizona WildcatsWildcats,1.0,Arizona,1.0
UCLA,UCLA BruinsBruins,UCLA,UCLA BruinsBruins,1.0,UCLA,UCLA BruinsBruins,1.0,UCLA,1.0
Utah,Utah UtesUtes,Utah,Utah UtesUtes,1.0,Utah,Utah UtesUtes,1.0,Utah,1.0
Colorado,Colorado BuffaloesBuffaloes,Colorado,Colorado BuffaloesBuffaloes,1.0,Colorado,Colorado BuffaloesBuffaloes,1.0,Colorado,1.0
Georgia,Georgia BulldogsBulldogs,Georgia,Georgia BulldogsBulldogs,1.0,Georgia,Georgia BulldogsBulldogs,1.0,Georgia,1.0
South Carolina,South Carolina GamecocksGamecocks,South Carolina,South Carolina GamecocksGamecocks,1.0,South Carolina,South Carolina GamecocksGamecocks,1.0,South Carolina,1.0
Kentucky,Kentucky WildcatsWildcats,Kentucky,Kentucky WildcatsWildcats,1.0,Kentucky,Kentucky WildcatsWildcats,1.0,Kentucky,1.0
Missouri,Missouri TigersTigers,Missouri,Missouri TigersTigers,1.0,Missouri,Missouri TigersTigers,1.0,Missouri,1.0
Florida,Florida GatorsGators,Florida,Florida GatorsGators,1.0,Florida,Florida GatorsGators,1.0,Florida,1.0
Vanderbilt,Vanderbilt CommodoresCommodores,Vanderbilt,Vanderbilt CommodoresCommodores,1.0,Vanderbilt,Vanderbilt CommodoresCommodores,1.0,Vanderbilt,1.0
Tennessee,Tennessee VolunteersVolunteers,Tennessee,Tennessee VolunteersVolunteers,1.0,Tennessee,Tennessee VolunteersVolunteers,1.0,Tennessee,1.0
Alabama,Alabama Crimson TideCrimson Tide,Alabama,Alabama Crimson TideCrimson Tide,1.0,Alabama,Alabama Crimson TideCrimson Tide,1.0,Alabama,1.0
Auburn,Auburn TigersTigers,Auburn,Auburn TigersTigers,1.0,Auburn,Auburn TigersTigers,1.0,Auburn,1.0
Mississippi State,Mississippi State BulldogsBulldogs,Miss St,Mississippi State BulldogsBulldogs,1.0,Mississippi State,Mississippi State BulldogsBulldogs,1.0,Mississippi State,1.0
Ole Miss,Ole Miss RebelsRebels,Ole Miss,Ole Miss RebelsRebels,1.0,Ole Miss,Ole Miss RebelsRebels,1.0,Ole Miss,1.0
Arkansas,Arkansas RazorbacksRazorbacks,Arkansas,Arkansas RazorbacksRazorbacks,1.0,Arkansas,Arkansas RazorbacksRazorbacks,1.0,Arkansas,1.0
Appalachian State,Appalachian State MountaineersMountaineers,Appalachian St,Appalachian State MountaineersMountaineers,1.0,Appalachian State,Appalachian State MountaineersMountaineers,1.0,Appalachian State,1.0
Troy,Troy TrojansTrojans,Troy,Troy TrojansTrojans,1.0,Troy,Troy TrojansTrojans,1.0,Troy,1.0
Arkansas State,Arkansas State Red WolvesRed Wolves,Arkansas State,Arkansas State Red WolvesRed Wolves,1.0,Arkansas State,Arkansas State Red WolvesRed Wolves,1.0,Arkansas State,1.0
New Mexico State,New Mexico State AggiesAggies,New Mexico St,New Mexico State AggiesAggies,1.0,New Mexico State,New Mexico State AggiesAggies,1.0,New Mexico State,1.0
Texas State,Texas State BobcatsBobcats,Texas State,Texas State BobcatsBobcats,1.0,Texas State,Texas State BobcatsBobcats,1.0,Texas State,1.0

POTENTIAL MATCHES

Miami (FL),Miami (Florida) HurricanesHurricanes,Miami,Miami HurricanesHurricanes,0.8536324786324787,Miami (Fla.),Miami (Fla.) HurricanesHurricanes,0.8943339646464646,Miami,0.875
Pitt,Pitt PanthersPanthers,Pitt,Pittsburgh PanthersPanthers,0.8492063492063492,Pittsburgh,Pittsburgh PanthersPanthers,0.8492063492063492,Pittsburgh,0.85
South Florida,South Florida BullsBulls,USF,South Florida BullsBulls,1.0,South Florida,South Florida BullsBulls,1.0,South Carolina,0.8625124875124875
Connecticut,Connecticut HuskiesHuskies,Washington,Washington HuskiesHuskies,0.7897435897435899,Connecticut,Connecticut HuskiesHuskies,1.0,Connecticut,1.0
SMU,SMU MustangsMustangs,SMU,SMU MustangsMustangs,1.0,Southern Methodist,Southern Methodist MustangsMustangs,0.7517857142857143,SMU,1.0
Texas Christian,Texas Christian Horned FrogsHorned Frogs,TCU,TCU Horned FrogsHorned Frogs,0.7987103174603174,TCU,TCU Horned FrogsHorned Frogs,0.7987103174603174,Texas State,0.8545454545454545
Florida International,Florida International Golden PanthersGolden Panthers,FIU,Florida Intl Golden PanthersPanthers,0.8397435897435898,Florida International,Florida International Golden PanthersGolden Panthers,1.0,Florida International University,0.9140625
Middle Tennessee State,Middle Tennessee State Blue RaidersBlue Raiders,Mid Tennessee,Middle Tennessee Blue RaidersRaiders,0.8789893617021276,Middle Tennessee,Middle Tennessee Blue RaidersBlue Raiders,0.8949143746756616,Middle Tennessee,0.9318181818181819
Old Dominion,Old Dominion MonarchsMonarchs,Old Dominion,Old Dominion MonarchsMonarchs,1.0,Old Dominion,Old Dominion MonarchsMonarchs,1.0,Ole Miss,0.7604166666666667
Southern Mississippi,Southern Mississippi Golden EaglesGolden Eagles,Southern Miss,Southern Mississippi Golden EaglesEagles,0.9502659574468084,Southern Mississippi,Southern Mississippi Golden EaglesGolden Eagles,1.0,Southern Miss,0.9125
UTEP,UTEP MinersMiners,UTEP,UTEP MinersMiners,1.0,UNLV,UNLV RebelsRebels,0.7441176470588236,UTEP,1.0
Massachusetts,Massachusetts MinutemenMinutemen,UMass,UMass MinutemenMinutemen,0.7777777777777778,Massachusetts,Massachusetts MinutemenMinutemen,1.0,Marquette,0.782051282051282
Brigham Young,Brigham Young CougarsCougars,BYU,BYU CougarsCougars,0.7589285714285714,Brigham Young,Brigham Young CougarsCougars,1.0,Creighton,0.7094017094017094
Akron,Akron ZipsZips,Akron,Akron ZipsZips,1.0,Akron,Akron ZipsZips,1.0,Arizona,0.8428571428571429
Ohio,Ohio BobcatsBobcats,Ohio,Ohio BobcatsBobcats,1.0,Ohio,Ohio BobcatsBobcats,1.0,Ohio State,0.85
Buffalo,Buffalo BullsBulls,Buffalo,Buffalo BullsBulls,1.0,Buffalo,Buffalo BullsBulls,1.0,Baylor,0.8095238095238095
Miami (OH),Miami (Ohio) RedHawksRedHawks,Miami (OH),Miami (Ohio) RedHawksRedHawks,1.0,Miami (Ohio),Miami (Ohio) RedHawksRedHawks,1.0,Miami,0.875
Bowling Green State,Bowling Green State FalconsFalcons,Bowling Green,Bowling Green FalconsFalcons,0.9023109243697479,Bowling Green,Bowling Green FalconsFalcons,0.9023109243697479,Washington State,0.6827485380116959
Northern Illinois,Northern Illinois HuskiesHuskies,N Illinois,Northern Illinois HuskiesHuskies,1.0,Northern Illinois,Northern Illinois HuskiesHuskies,1.0,North Carolina,0.7900114591291062
Eastern Michigan,Eastern Michigan EaglesEagles,E Michigan,Eastern Michigan EaglesEagles,1.0,Eastern Michigan,Eastern Michigan EaglesEagles,1.0,Western Michigan,0.9583333333333334
Ball State,Ball State CardinalsCardinals,Ball State,Ball State CardinalsCardinals,1.0,Ball State,Ball State CardinalsCardinals,1.0,Iowa State,0.7999999999999999
Air Force,Air Force FalconsFalcons,Air Force,Air Force FalconsFalcons,1.0,Air Force,Air Force FalconsFalcons,1.0,Wake Forest,0.7373737373737373
Utah State,Utah State AggiesAggies,Utah State,Utah State AggiesAggies,1.0,Utah State,Utah State AggiesAggies,1.0,Utah,0.85
San Diego State,San Diego State AztecsAztecs,San Diego State,San Diego State AztecsAztecs,1.0,San Diego State,San Diego State AztecsAztecs,1.0,New Mexico State,0.7766414141414142
Nevada-Las Vegas,UNLV RebelsRebels,UNLV,UNLV RebelsRebels,1.0,UNLV,UNLV RebelsRebels,1.0,Nevada,0.84375
Hawaii,Hawaii WarriorsWarriors,Hawai'i,Hawai'i Rainbow WarriorsRainbow Warriors,0.788082298136646,Hawaii,Hawaii Rainbow WarriorsRainbow Warriors,0.7914476827520306,Michigan,0.6388888888888888
San Jose State,San Jose State SpartansSpartans,San Jose State,San Jose State SpartansSpartans,1.0,San Jose State,San Jose State SpartansSpartans,1.0,Fresno State,0.7825396825396825
USC,USC TrojansTrojans,USC,USC TrojansTrojans,1.0,Troy,Troy TrojansTrojans,0.763157894736842,USC,1.0
LSU,LSU Fighting TigersFighting Tigers,LSU,LSU TigersTigers,0.7410209276018099,LSU,LSU TigersTigers,0.7410209276018099,LSU,1.0
Texas A&M,Texas A&M AggiesAggies,Texas A&M,Texas A&M AggiesAggies,1.0,Texas A&M,Texas A&M AggiesAggies,1.0,Texas,0.8888888888888888
Coastal Carolina,Coastal Carolina ChanticleersChanticleers,C. Carolina,Coastal Carolina ChanticleersChanticleers,1.0,Coastal Carolina,Coastal Carolina ChanticleersChanticleers,1.0,Colorado State,0.7348214285714286
Georgia Southern,Georgia Southern EaglesEagles,Ga Southern,Georgia Southern EaglesEagles,1.0,Georgia Southern,Georgia Southern EaglesEagles,1.0,Georgia Tech,0.8783143939393939
Georgia State,Georgia State PanthersPanthers,Georgia State,Georgia State PanthersPanthers,1.0,Georgia State,Georgia State PanthersPanthers,1.0,Georgia Tech,0.9006410256410257
Louisiana,Louisiana Ragin' CajunsRagin' Cajuns,Louisiana,Louisiana Ragin' CajunsRagin' Cajuns,1.0,Louisiana,Louisiana Ragin' CajunsRagin' Cajuns,1.0,Louisiana Tech,0.9107142857142857
Louisiana-Monroe,Louisiana-Monroe WarhawksWarhawks,UL Monroe,UL Monroe WarhawksWarhawks,0.7597047397047397,Louisiana-Monroe,Louisiana-Monroe WarhawksWarhawks,1.0,Louisiana Monroe,0.96875
Idaho,Idaho VandalsVandals,Idaho,Idaho VandalsVandals,1.0,Idaho,Idaho VandalsVandals,1.0,Indiana,0.7571428571428571
South Alabama,South Alabama JaguarsJaguars,South Alabama,South Alabama JaguarsJaguars,1.0,South Alabama,South Alabama JaguarsJaguars,1.0,South Carolina,0.8337912087912088
