school_name,link,link_abbr,link_name,name_team_page,mascot
TCU,/teams/page/TCU/tcu-horned-frogs,TCU,tcu-horned-frogs,TCU,Horned Frogs
Texas,/teams/page/TEXAS/texas-longhorns,TEXAS,texas-longhorns,Texas,Longhorns
Texas Tech,/teams/page/TXTECH/texas-tech-red-raiders,TXTECH,texas-tech-red-raiders,Texas Tech,Red Raiders
West Virginia,/teams/page/WVU/west-virginia-mountaineers,WVU,west-virginia-mountaineers,West Virginia,Mountaineers
Charlotte,/teams/page/CHARLO/charlotte-49ers,CHARLO,charlotte-49ers,Charlotte,49ers
Florida Atlantic,/teams/page/FAU/florida-atlantic-owls,FAU,florida-atlantic-owls,FAU,Owls
Florida International,/teams/page/FIU/florida-international-golden-panthers,FIU,florida-international-golden-panthers,FIU,Golden Panthers
Marshall,/teams/page/MRSHL/marshall-thundering-herd,MRSHL,marshall-thundering-herd,Marshall,Thundering Herd
Middle Tennessee,/teams/page/MTSU/middle-tennessee-blue-raiders,MTSU,middle-tennessee-blue-raiders,M. Tenn. St.,Blue Raiders
Old Dominion,/teams/page/ODU/old-dominion-monarchs,ODU,old-dominion-monarchs,Old Dominion,Monarchs
Western Kentucky,/teams/page/WKY/western-kentucky-hilltoppers,WKY,western-kentucky-hilltoppers,W. Kentucky,Hilltoppers
Louisiana Tech,/teams/page/LATECH/louisiana-tech-bulldogs,LATECH,louisiana-tech-bulldogs,Louisiana Tech,Bulldogs
North Texas,/teams/page/NTEXAS/north-texas-mean-green,NTEXAS,north-texas-mean-green,North Texas,Mean Green
Rice,/teams/page/RICE/rice-owls,RICE,rice-owls,Rice,Owls
UTSA,/teams/page/TXSA/utsa-roadrunners,TXSA,utsa-roadrunners,UTSA,Roadrunners
UAB,/teams/page/UAB/uab-blazers,UAB,uab-blazers,UAB,Blazers
Southern Mississippi,/teams/page/USM/southern-mississippi-golden-eagles,USM,southern-mississippi-golden-eagles,Southern Miss,Golden Eagles
